name,description
Equinox Hotel New York,"The Equinox Fitness Club at the Equinox Hotel New York at Hudson Yards has multiple floors of group fitness studios and a strength training floor.Open to guests of the hotel, hours are 6 am - 9 pm Monday through Thursday, 6 am to 8 pm on Fridays, and 7 am to 8 pm on weekends.Gym equipment includes treadmills, ellipticals, stationary bikes, rowers, weight machines, cable machines, squat racks, barbells, dumbbells, and kettlebells.At Equinox Hotel, you’ll have access to a cold plunge and sauna."
Sheraton New York Times Square Hotel,"The Sheraton New York Times Square Hotel is located right in the thick of the action on Seventh Avenue.The 4,000-square-foot fitness center is beautifully designed and has a spacious, circular layout that provides guests with plenty of room to exercise.There are tons of cardio machines available, as well as free weights (including dumbbells up to 100 pounds), a squat rack, weight machines, and kettlebells.The Sheraton New York Times Square now offers ten Peloton bikes in a dedicated studio. You can have 24-hour access to studio cycling classes and there are six group rides Monday through Thursday, five on Friday and up to four on the weekend."
The Mark Hotel,"The Mark Hotel is a five-star, luxury hotel located on Manhattan's Upper East Side.The hotel's fitness center reflects the high standards of the rest of the hotel and guests can expect a state-of-the-art, 1,400-square-foot gym with top-of-the-line equipment.Gym equipment includes treadmills, ellipticals, stationary bikes, weight machines, dumbbells, barbells, benches, and a squat rack."
The William Vale,"Located across the East River from Lower Manhattan is The William Vale Hotel in Williamsburg, Brooklyn. The rooms are a bit small but they all have floor-to-ceiling windows and a balcony for an incredible view of Manhattan.The gym is open 24 hours and has treadmills, ellipticals, cable machines, dumbbells, and benches."
Parker New York,"The Parker New York hotel in Midtown is a fantastic place to stay when visiting New York City, with a rooftop pool and incredible views of Central Park.Guests have free access to the 15,000-square-foot multi-level Gravity fitness center.Equipment includes treadmills, ellipticals, rowers, heavy dumbbells, barbells, and weight machines."
New York Hilton Midtown,"The New York Hilton Midtown is a common place to stay for business travelers coming to New York City and is pretty conventional in design and layout.It's also located only ten minutes from Times Square, so it's a solid choice for anyone visiting the big city.Beautifully designed and spacious, the Hilton Midtown's gym boasts a ton of treadmills, cardio machines, dumbbells, and even a few barbells. It is open 24 hours a day."
1 Hotel Central Park,"The Field House gym at 1 Hotel Central Park is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, Peloton bikes, a SkiErg, squat rack, barbells, dumbbells, kettlebells, a turf area, a sled, and a rower."
"The Ritz-Carlton New York, Central Park","The newly redesigned fitness center at The Ritz-Carlton New York, Central Park is both spacious and well-equipped.Gym equipment includes cardio machines, weight machines, dumbbells, barbells, kettlebells, medicine balls, and a smith machine."
The Wall Street Hotel,"The fitness center at The Wall Street Hotel is open 24 hours a day, 7 days a week.Gym equipment includes Peloton bikes, a Mirror (now Lululemon Studio), dumbbells, barbells, benches, and squat racks."
Tempo by Hilton New York Times Square,"The fitness center at Tempo by Hilton New York Times Square is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, Peloton bikes, an Assault rower, cable machines, a Smith machine, dumbbells, and benches."
Hotel 32|32,There is no in-house fitness center at the boutique Hotel 32|32 in the Flatiron - Murray Hill section of Manhattan but guests have free 24-hour access to Solace New York - a full CrossFit gym located just steps away from the hotel.
Virgin Hotels New York City,"Virgin Hotels New York City opened in 2023 in midtown Manhattan and the fifth-floor gym features treadmills, ellipticals, weight machines, cable machines, dumbbells, kettlebells, and benches."
Renaissance New York Midtown Hotel,"Guests of the Renaissance New York Midtown Hotel receive free access to a Planet Fitness located within the building.The two-story Planet Fitness is open 24 hours a day, 7 days a week and has cardio machines, weight machines, and free weights."
The Muse New York,"The fitness center at The Muse New York is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, a rowing machine, a cable machine, dumbbells, kettlebells, benches, and a boxing bag."
London Marriott Hotel County Hall,"The Club at County Hall fitness center at London Marriott Hotel County Hall encompasses an indoor swimming pool and a 6,000-square-foot gym with state-of-the-art equipment.The gym features treadmills, ellipticals, stationary bikes, rowers, dumbbells, barbells, monkey bars, a power rack, a yoga studio, and a spin bike studio.The gym is open from 5:30 am to 11:00 pm Monday to Friday and from 6 am to 11 pm on weekends."
The Bulgari Hotel,"Workshop Gymnasium in The Bulgari Hotel in London has functional fitness, yoga, pilates, and boxing classes.TRX straps, Olympic-style rings, and kettlebells offer functional fitness enthusiasts a great way to stay fit while traveling.Through a partnership with Les Mullins, one of the most prominent personal trainers in the world, The Bulgari Hotel is able to offer its guests a first-class fitness experience."
W London,"The fitness center at the W London is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, bikes, a cable machine, dumbbells, barbells, kettlebells, a squat rack, and benches."
Mondrian Shoreditch London,"The state-of-the-art gym at Mondrian Shoreditch London is open 24 hours a day.Gym equipment includes treadmills, a rower, a Stairmaster, a Peloton bike, dumbbells, kettlebells, barbells, benches, and a squat rack.Personal training sessions are available on request."
The Lanesborough,"The spacious gym at The Lanesborough hotel is packed with fitness equipment, including treadmills, ellipticals, spin bikes, rowers, a heavy boxing bag, dumbbells, kettlebells, barbells, benches, a squat rack, TRX zone, and a Technogym SKILLMILL treadmill.The hotel also offers a series of group classes with no more than eight people in yoga, reformer Pilates, Bodysim boxing, and HIIT TRX."
London Marriott Hotel Kensington,"The 7,000-square-foot Gym Way at London Marriott Hotel Kensington is open Monday through Thursday from 6:30 am to 10 pm, 6:30 to 9 pm Fridays, and 8 am to 4 pm on weekends.Gym equipment includes treadmills, ellipticals, bikes, rowers, weight machines, cable machines, power racks, dumbbells, barbells, kettlebells, battle ropes, rings, TRX, sleds, sandbags, and more."
Shangri-La Hotel at the Shard,"This one has the best view on this list. The gym in the Shangri-La Hotel at the Shard is on the 52nd floor and has floor-to-ceiling windows that provide guests with a panoramic view of beautiful London.The gym is open 24 hours a day and offers treadmills, cardio machines, weight machines, dumbbells, and a Concept2 rower."
Hotel ICON,"The 24 hour harbour-facing fitness center at Hotel ICON provides the latest Technogym cardiovascular and weight training equipment and a stunning panoramic view of Tsim Sha Tsui, Victoria Harbour, and Hong Kong's skyline. A personal trainer is available."
Grand Hyatt Hong Kong,"The fitness center at the Grand Hyatt Hong Kong is open from from 6:30am to 10pm daily and has a great selection of cardio and weightlifting equipment.The gym features treadmills, ellipticals, stationary bikes, a rowing machine, weight machines, a Smith machine, barbells, dumbbells, and benches."
Hong Kong SkyCity Marriott Hotel,"The spacious fitness center at Hong Kong SkyCity Marriott Hotel is open daily from 7am to 11pm and features treadmills, ellipticals, stationary bikes, weight machines, dumbells, kettlebells, benches, and a cable machine."
Kerry Hotel,"The Kerry Hotel is an upscale hotel in a sleek building that overlooks Kowloon Bay and Victoria Harbour. This is among the most comprehensive fitness centres in Hong Kong, offering a 24-hour gym with the latest exercise equipment (plus a nice variety) and a 25-meter outdoor heated swimming pool overlooking Victoria Harbour."
Park Hyatt,"Park Hyatt Tokyo is conveniently located in the heart of Shinjuku, Tokyo's vibrant business and entertainment district and is within walking distance of Shinjuku Station, the city's largest transportation hub.The Club on the Park gymnasium and aerobics studio flank either side of a pool on the 47th floor. The studio features body sonic flooring, while the gym is equipped with a complete range of Life Fitness weight training and fitness equipment.Floor-to-ceiling windows with a stunning view from 47 floors up make this hotel gym one of the best in the world."
Mandarin Oriental Tokyo,"Set in the historic Nihonbashi neighborhood, the Mandarin Oriental Tokyo is a luxury high-rise hotel that occupies the top nine floors of the 34-story Nihonbashi Mitsui Tower.Located on the 38th floor, the glass-walled fitness center offers a range of exercise equipment and stunning views of the city below. There's stationary bikes, treadmills, dumbbells, TRX Training straps, and plenty of room to stretch out, all while enjoying the incredible view."
The Strings by InterContinental,"The Strings by InterContinental Tokyo is a 5-star, luxury hotel located in the Shinagawa East One Tower near Shinagawa Station.The fitness center is ‘Modern Japanese’ themed and is located on the 26th floor. It's open 24 hours and boasts panoramic views of Tokyo. The fitness room features the latest cardio equipment, free weights, resistance machines, and an extensive wellness platform to ensure guests stay on their fitness track during their travels."
Tokyo Station Hotel,"Set in a grand redbrick building in the Marunouchi business district, this high-end landmark hotel dating from 1915 is directly connected to Marunouchi train station. It's also two kilometers from the Imperial Palace.The Jexer Tokyo Fitness Lounge in the Tokyo Station Hotel is beautifully decorated and has plenty of options from machines to free weights. There's also a ton of space for stretching, yoga, or bodyweight workouts. Membership and personal training sessions are offered. It is not open 24 hours."
Aman Tokyo,"Set in the top six floors of a sleek high-rise, the Aman Tokyo is three kilometers from the Tsukiji fish market and two kilometers from Tokyo Imperial Palace.The spacious, light-filled Fitness Center provides outstanding views of Tokyo while you workout and is equipped with the latest in cardiovascular and weight-training machinery from Technogym and Life Fitness. TRX and spinning bikes are also available and it even has battle ropes!"
Four Seasons Hotel,"The Four Seasons Hotel Toyko is located in a high-rise building across the street from Tokyo Station and is only two kilometers from Tokyo Imperial Palace.Open 24 hours and quite large at over 3,000 square feet, the fitness studio in the Four Seasons has a wide range equipment, including cardio machines, weight training equipment, free weights, and a Concept2 rower. Floor-to-ceiling windows provide a great view of the city."
Palace Hotel,"The Palace Hotel is located in a high-rise building in Chiyoda and overlooks the lakes and gardens of Tokyo Imperial Palace.Located on the fifth floor adjacent to the spa, the 1,367-square-foot fitness facility comes outfitted with extensive weight training equipment and the latest cardiovascular machines by Technogym and Life Fitness as well as a Kinesis System.Wall-to-wall, floor-to-ceiling windows offer captivating views of the Imperial Palace gardens – the perimeter of which happens to double as a 5 five kilometer jogging track."
Andaz Tokyo Toranomon Hills,"Andaz Tokyo Toranomon Hills is an elegant high-rise hotel and is located only one kilometer from Tokyo Tower and three kilometers from the Tokyo Imperial Palace.The hotel gym features gorgeous views from the 37th floor and is filled with a ton of equipment options, including cardio machines, weight machines, a Concept2 rower, and an excellent selection of free weights.There's plenty of space for you to workout here (over 1,300 square meters) without feeling cramped or too close to others and they even have kettlebells (rare in hotel gyms).Exclusive memberships are available and the gym is open from 5 a.m. until 10 p.m."
Grand Hyatt Tokyo,"Adjacent to the shopping, restaurants and museums at Roponngi Hills, the Grand Hyatt Tokyo  is just two kilometers from Tokyo Tower and a fourteen minute walk from Nogizaka Station.The Nagomi Spa and Fitness center features the latest equipment from TechnoGym® and a full range of high-tech cardio and strength-training equipment, including cardio machines, stationary bikes, dumbbells, and barbells. Personal training sessions are available."
Hyatt Regency San Francisco,"The 3,200 square-foot fitness center at the Hyatt Regency San Francisco Downtown SOMA is open 24/7.Gym equipment includes treadmills, ellipticals, Peloton bikes, a squat rack, barbells, dumbbells, kettlebells, weight machines, and benches."
Hyatt Regency San Francisco,"The 3,200 square-foot fitness center at the Hyatt Regency San Francisco Downtown SOMA is open 24/7.Gym equipment includes treadmills, ellipticals, Peloton bikes, a squat rack, barbells, dumbbells, kettlebells, weight machines, and benches."
W San Francisco,"Enjoy great views and a modern atmosphere at W San Francisco, a trendy hotel located in the South of Market neighborhood and a mile from San Francisco Bay.The newly restyled 1,875-square-foot Fit Gym is energy-boosting and available to guests 24 hours a day.Gym equipment includes treadmills, ellipticals, stationary bikes, cable machines, a smith machine, dumbbells, kettlebells, and benches."
Four Seasons San Francisco at Embarcadero,"The fitness center at the Four Seasons San Francisco at Embarcadero is located on the third floor and is open 24 hours a day.Gym equipment includes treadmills, ellipticals, stationary bikes, weight machines, cable machines, dumbbells, barbells, kettlebells, benches, and a squat rack."
San Francisco Marriott Marquis,"The San Francisco Marriott Marquis is set in a high-rise building, near Union Square and Moscone Center.The COR Health and Fitness Center is open 24 hours a day and features treadmills, ellipticals, stationary bikes, weight machines, dumbbells, barbells, kettlebells, benches, and stairmasters."
Hyatt Regency San Francisco,"The Hyatt Regency San Francisco is located at the foot of Market Street and The Embarcadero in the Financial District.The StayFit Fitness Center is open 24 hours a day and features treadmills, ellipticals, Peloton bikes, dumbbells, kettlebells, benches, a rower, TRX training straps, weight machines, cables, and pull-up bars."
1 Hotel San Francisco,"The Field House Gym at 1 Hotel San Francisco is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, Peloton bikes, dumbbells, kettlebells, a barbell and squat rack, medicine balls, and benches."
ARIA Resort and Casino,"The 6,000-square-foot fitness center at ARIA Resort and Casino is open daily from 6 am to 6 pm.Gym equipment includes treadmills, ellipticals, bikes, a rower, weight machines, dumbbells, barbells, benches, and a Treadwall rotating climbing wall.Group classes offered include kettlebell training, TRX Fusion, Combat Cardio, yoga, Pilates, Barre, and spinning classes."
"The STRAT Hotel, Casino & SkyPod","The new fitness center at The STRAT Hotel, Casino & SkyPod is open 24 hours a day.The gym is equipped with treadmills, ellipticals, stationary bikes, rowers, StairMasters, weight machines, cable machines, dumbbells, kettlebells, benches, and a turf area."
Plaza Hotel & Casino,"The Plaza Gym at the Plaza Hotel & Casino is open from 5 am to 10 pm daily.The gym is equipped with treadmills, air bikes, rowers, cable machines, dumbbells, barbells, kettlebells, benches, pull-up bars, and power racks."
The Venetian Las Vegas,"The Venetian Las Vegas complex includes The Palazzo and Sands Expo Convention Center and is located right on the strip. Guests have access to the Canyon Ranch Spa, which includes a massive gym that’s open daily from 6 am to 8 pm.Equipment includes cardio machines, weight machines, squat racks, barbells, dumbbells, kettlebells, and a rock climbing wall."
Flamingo Las Vegas Hotel & Casino,"The fitness center at the Flamingo Las Vegas Hotel & Casino is open daily from 7 am to 5 pm.Gym equipment includes treadmills, ellipticals, stationary bikes, weight machines, cable machines, a Smith machine, dumbbells, and benches."
1 Hotel South Beach,"The new Anatomy South Beach Gym at 1 Hotel South Beach is a 14,000 square-foot second-floor gym that features treadmills, rowing machines, weight machines, dumbbells, barbells, squat racks, TRX, boxing equipment, and kettlebells.Hours are 6 am - 10 pm on weekdays and 7 am - 10 pm on weekends."
"EAST, Miami","EAST, Miami is a stylish, modern, lifestyle hotel located in the Brickell City Centre area.The hotel's gym, BEAST (Body by EAST) is open 24 hours and features treadmills, ellipticals, stationary bikes, a Concept2 rowing machine, weight machines, dumbbells, barbells, benches, battle ropes, and a squat rack."
Kimpton Epic Hotel,"Located in downtown Miami, the Kimpton Epic Hotel has a 16th floor gym with some spectacular views of the pool terrace and Biscayne Bay. There's strength training equipment, cardio machines, and classes in yoga, barre, and high intensity interval training (HIIT).If none of that appeals to you, try a tour around the local neighborhood on a European-style cruiser by PUBLIC Bikes - free for guests."
W South Beach,"The W South Beach's 2,500-square-feet, state-of-the-art, fully-equipped FIT gym is open 24 hours and features treadmills, ellipticals, stationary bikes (including a Peloton), weight machines, dumbbells, kettlebells, barbells, a Smith machine, and a bench press."
JW Marriott Marquis Miami,"The spacious fitness center at the JW Marriott Marquis Miami is open 24 hours a day and features treadmills, ellipticals, stationary bikes, plate-loaded weight machines, dumbbells (including heavy ones), a Smith machine, a cable machine, benches, and a separate yoga studio."
Fontainebleau Resort Miami Beach,"The Fontainebleau Resort Miami Beach's 5,000 square foot fitness center offers stunning views of the Atlantic Ocean while you use their many cardio equipment options, including treadmills with multi-language capability and fully integrated TV screens.You'll also find cross-training machines, recumbent bikes, a wide range of low to heavy weights, and resistance and cardio training on Cybex Eagle."
JW Marriott Miami Turnberry Resort & Spa,"The 3,600-square-foot fitness center at JW Marriott Miami Turnberry Resort & Spa is open 24 hours a day, 7 days a week.The gym features treadmills, ellipticals, stair masters, stationary bikes, dumbbells, barbells, benches, and squat racks."
The St. Regis Bal Harbour Resort,"The St. Regis Athletic Club at The St. Regis Bal Harbour Resort in Miami Beach is open 24 hours a day and features treadmills, ellipticals, stationary bikes, a Concept2 rowing machine, weight machines, dumbbells, and benches."
Hotel Lutetia,"Hotel Lutetia in the Saint-Germain-des-Prés area of Paris is a luxury landmark hotel with views of the Eiffel Tower.The 1,076 square foot gym features dumbbells, barbells, a squat rack, a cable machine, benches, treadmills, stationary bikes, and a Stairmaster."
Hyatt House Paris Charles de Gaulle Airport,"The fitness center at Hyatt House Paris Charles de Gaulle Airport is small but it’s well-equipped and open 24/7.Gym equipment includes treadmills, ellipticals, stationary bikes, a cable machine with a pull-up bar, dumbbells, and benches."
Renaissance Paris Republique Hotel & Spa,"The fitness center at the Renaissance Paris Republique Hotel & Spa is open daily from 11 am to 8 pm.Gym equipment includes treadmills, ellipticals, stationary bikes, weight machines, dumbbells, and kettlebells."
Bulgari Hotel Paris,"The 120-square-meter Fitness Space at the Bulgari Hotel Paris is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, a rower, dumbbells, barbells, kettlebells, and a squat rack."
Hotel R de Paris,"The gym and spa at the Hotel R de Paris are open daily from 7 am to 10 pm.Gym equipment includes treadmills, ellipticals, stationary bikes, a rowing machine, dumbbells, and benches."
Four Seasons Hotel George V Paris,"Le Spa at the Four Seasons Hotel George V Paris features a 1,200-square-foot Fitness Centre that’s open 24/7.Gym equipment includes dumbbells, kettlebells, barbells, weight machines, cardio machines, yoga mats, foam rollers, jump ropes, and a Smith machine.Private classes, certified trainers, heart rate monitors, workout clothes, and sneakers are available on request."
Pullman Paris Tour Eiffel,"The four-star hotel Pullman Paris Tour Eiffel is set at the foot of the Eiffel Tower and is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, weight machines, dumbbells, and benches."
Hotel du Collectionneur Arc de Triomphe,"The fitness center at Hotel du Collectionneur Arc de Triomphe is open from 7 am to 11 pm.Gym equipment includes treadmills, ellipticals, stationary bikes, weight machines, cable machines, dumbbells, benches, and a pull-up bar."
Park Hyatt Paris-Vendome,"Le Spa Fitness at the Park Hyatt Paris-Vendome is open 24 hours a day, 7 days a week.Equipment includes treadmills, ellipticals, bikes, weight machines, dumbbells, kettlebells, benches, TRX, and a pull-up bar.A personal trainer is available on request."
Chicago Marriott Downtown Magnificent Mile,"The 9,000-square-foot gym at the Chicago Marriott Downtown Magnificent Mile is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, weight machines, cable machines, dumbbells, kettlebells, and benches."
Marriott Marquis Chicago,"The fitness center at Marriott Marquis Chicago is open 24/7.Gym equipment includes treadmills, ellipticals, a rower, a Stairmaster, weight machines, cable machines, dumbbells, barbells, and a Smith machine."
JW Marriott Chicago,"The spacious fitness center at the JW Marriott Chicago is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, weight machines, cable machines, a smith machine, dumbbells (up to 80 pounds), kettlebells, barbells, and benches."
Hilton Chicago,"The fitness center at Hilton Chicago O’Hare Airport is fully equipped with free weights that will keep weight lifters happy while traveling.Gym equipment includes weight machines, cable machines, barbells, dumbbells, benches, and a squat rack."
Hilton Chicago,"The 25,000-square-foot fitness center at the Hilton Chicago is open 5 am to 9 pm Monday through Thursday, 5 am to 10 pm on Friday, 6 am to 10 pm on Saturday, and 6 am to 9 pm on Sunday.Gym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, cable machines, barbells, dumbbells, kettlebells, squat racks, benches, and an indoor track."
Swissotel Chicago,"The fitness center at the Swissotel Chicago is open from 5 am to 10 pm daily.Gym equipment includes treadmills, ellipticals, Peloton bikes, a Stairmaster, weight machines, cable machines, dumbbells, kettlebells, and benches."
1 Hotel West Hollywood,"The Field House Gym at 1 Hotel West Hollywood is open 24/7.Gym equipment includes treadmills, ellipticals, a StairMaster, a SkiErg, Peloton bikes, dumbbells, barbells, kettlebells, a squat rack, and a turf area."
Sheraton Grand Los Angeles,"The fitness center at the Sheraton Grand Los Angeles is open 24 hours a day and has top-of-the-line, state-of-the-art machines to help you stay in shape.The gym features treadmills, ellipticals, stationary bikes, rowing machines, weight machines, dumbbells, benches, and views of downtown LA."
The Westin Los Angeles Airport,"The WestinWORKOUT Fitness Studio at The Westin Los Angeles Airport is open 24 hours a day.Gym equipment includes treadmills, ellipticals, Peloton bikes, dumbbells, kettlebells, medicine balls, TRX straps, and benches."
The Chamberlain West Hollywood,"The 700-square-foot fitness center at The Chamberlain West Hollywood is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, a Peloton bike, a smith machine, a cable machine, dumbbells, kettlebells, and benches."
Sofitel Los Angeles at Beverly Hills,"The 2,000-square-foot Sofitel Fitness Center at Sofitel Los Angeles at Beverly Hills is open from 6 am to 9 pm daily.Gym equipment includes treadmills, ellipticals, Peloton bikes, an air bike, weight machines, cable machines, barbells, dumbbells, and benches."
The Westin Bonaventure Hotel and Suites,"The WestinWORKOUT Fitness Studio at The Westin Bonaventure Hotel and Suites is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, weight machines, cable machines, dumbbells, kettlebells, TRX straps, and benches."
Four Seasons Hotel Los Angeles at Beverly Hills,"The fitness center at the Four Seasons Hotel Los Angeles at Beverly Hills is open-air and open from 6 am to 9 pm daily.Gym equipment includes treadmills, ellipticals, a Peloton bike, weight machines, cable machines, dumbbells, barbells, kettlebells, benches, and a turf area."
"Courtyard by Marriott Washington, DC Dupont Circle","The fitness center at the Courtyard by Marriott Washington, DC Dupont Circle is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, cable machines, dumbbells, kettlebells, and benches."
"Renaissance Washington, DC Downtown Hotel","Vida Fitness at the Renaissance Washington, DC Downtown Hotel is 10,000 square feet and is open 24 hours a day.Gym equipment includes treadmills, ellipticals, stationary bikes, StairMasters, weight machines, cable machines, barbells, dumbbells, kettlebells, benches, and a squat rack."
AC Hotel Washington DC Capitol Hill Navy Yard,"The fitness center at the AC Hotel Washington DC Capitol Hill Navy Yard is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, dumbbells, barbells, kettlebells, rings, bars, benches, and a squat rack."
"The Westin Georgetown, Washington DC","The fitness center at The Westin Georgetown, Washington DC is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, a rower, cable machines, dumbbells, kettlebells, and benches."
Hilton Washington DC National Mall the Wharf,"The fitness center at the Hilton Washington DC National Mall the Wharf is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, a rower, weight machines, cable machines, and free weights."
AC Hotel Washington DC Convention Center,"The fitness center at the AC Hotel Washington DC Convention Center is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, a Peloton bike, a StairMaster, cable machines, weight machines, dumbbells, kettlebells, and benches."
The LINE Hotel DC,"The Urban Athletic Club at The LINE Hotel DC is open daily from 6 am to 10 pm.Equipment includes Rogue barbells, squat racks, Concept2 rowers, treadmills, TRX, dumbbells, benches, kettlebells, a turf area with a sled, plyo boxes, and ellipticals."
"Rome Cavalieri, A Waldorf Astoria Hotel","Located in the Cavalieri Grand Spa, the gym at the Rome Cavalieri, A Waldorf Astoria Hotel is open daily from 7:30 am to 9:00 pm.The spacious gym features dumbbells, barbells, kettlebells, weight machines, benches, treadmills, pull-up bars, gymnastic rings, a Stairmaster, and ellipticals."
Hilton Warsaw,"Holmes Place is a luxurious health and wellness club located in the Hilton Warsaw and guests of the hotel have free access.The club is over 37,000 square feet and features treadmills, bicycles, cross trainers, rowing machines, resistance machines, jump ropes, training ropes, tiers, sandbags, dumbbells, balls, Bosu Balls, barbells, kettlebells, and trampolines.You can also pre-book group training classes in Zumba or Krav Maga in a separate studio."
TWA Hotel,"The 10,000-square-foot fitness center at TWA Hotel at John F. Kennedy International Airport in New York City is open 24 hours a day, 7 days a week.There are kettlebells, battle ropes, monkey bars, medicine balls, sandbags, jump ropes, resistance bands, boxes, TRX straps, dumbbells up to 100 pounds, multiple benches, squat racks, barbells, and weight machines.There are also plenty of treadmills, ellipticals, stair masters, stationary bikes, Concept2 rowers, and a whole room full of Peloton bikes."
Boston Park Plaza,"This 20,000-square-foot Lynx Fitness Club at the Boston Park Plaza is filled with strength training and cardio equipment to provide guests with an awesome fitness experience during their stay.Equipment includes dumbbells, barbells, kettlebells, squat racks, weight machines, cardio machines, and a turf area."
Renaissance Washington DC Downtown Hotel,"The 10,000-square-foot Vida Fitness at the Renaissance Washington DC Downtown Hotel is open 24 hours a day.Gym equipment includes treadmills, ellipticals, stationary bikes, StairMasters, weight machines, cable machines, barbells, dumbbells, kettlebells, benches, and a squat rack.VIDA Renaissance has gained a reputation as one of the most popular hotel gyms in the United States and is home to many visiting celebrities and dignitaries."
The Westin Kansas City at Crown Center,"The WestinWORKOUT Studio at The Westin Kansas City at Crown Center is open daily from 6 am to 10 pm.Gym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, cable machines, dumbbells, barbells, kettlebells, TRX, and benches."
