name,description
Holiday Inn Express & Suites Houston Westchase - Westheimer,"The fitness center at the Holiday Inn Express & Suites Houston Westchase - Westheimer offers a perfect place for functional fitness enthusiasts and CrossFitters to get in a workout on the go.The gym has the typical cardio machines you’d expect in a hotel gym, plus an Assault bike, dumbbells, a Concept2 rower, Plyosoft boxes, a sled, a tire, and a turf area."
Wyndham Grand Orlando Resort Bonnet Creek,"The spacious fitness center at the Wyndham Grand Orlando Resort Bonnet Creek is open 24 hours a day, seven days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, weight machines, a cable machine, a pull-up bar, dumbbells, and benches.Note: The Wyndham has a $32 a day resort fee."
Universal’s Cabana Bay Beach Resort,"The Jack LaLanne Physical Fitness Studio at Universal’s Cabana Bay Beach Resort is one of the most unique hotel fitness centers you’ll find anywhere.Open from 5 AM until midnight, this spacious gym features tributes to the fitness pioneer and treadmills, ellipticals, stationary bikes, dumbbells, barbells, benches, a cable machine, and a pull-up bar."
Hilton Orlando,"The 4,000-square-foot fitness center at the Hilton Orlando is open 24 hours a day, seven days a week.Gym equipment includes treadmills, stationary bikes, ellipticals, dumbbells, benches, a Smith machine, cable machines, and a pull-up bar."
Orlando World Center Marriott,"The fitness center at the Orlando World Center Marriott is open 24/7.Gym equipment includes treadmills, ellipticals, stationary bikes, dumbbells, barbells, benches, a Smith machine, a pull-up bar, and a cable machine."
Loews Sapphire Falls Resort at Universal Orlando,"The Kalina Fitness Center at the Loews Sapphire Falls Resort at Universal Orlando is spacious and well-equipped.Gym equipment includes treadmills, ellipticals, stationary bikes, a StairMaster, weight machines, a Smith machine, a cable machine, dumbbells, and benches."
Waldorf Astoria Orlando,"The 4,000-square-foot fitness center at the Waldorf Astoria Orlando is open 24/7.Gym equipment includes treadmills, ellipticals, stationary bikes, a rower, weight machines, benches, dumbbells, a cable machine, and a pull-up bar."
The Florida Hotel & Conference Center,"The spacious fitness center at The Florida Hotel & Conference Center is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, rowers, dumbbells, benches, cable machines, and weight machines."
Four Seasons Resort Orlando at Walt Disney World Resort,"The beautifully-designed and spacious fitness center at the Four Seasons Resort Orlando at Walt Disney World Resort is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, rowers, a stair climber, weight machines, a cable machine, a pull-up bar, dumbbells, kettlebells, resistance bands, and benches.Complimentary fitness apparel and athletic shoes are available for use during your stay."
Disney’s Animal Kingdom Lodge,"The Zahanati Massage & Fitness Center at Disney’s Animal Kingdom Lodge is the best gym in a Disney resort and is open 24 hours a day, seven days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, dumbbells, barbells, benches, and a Smith machine."
AC Hotel Charlotte City Center,"The fitness center at the AC Hotel Charlotte City Center is open 24 hours a day, seven days a week and features treadmills, ellipticals, a stairmaster, a stationary bike, weight machines, a cable machine with pull-up bars, benches, and dumbbells.There’s also floor-to-ceiling windows with beautiful views of Charlotte and a fitness patio for some outdoor stretching or yoga."
Hilton Charlotte Center City,"Guests of the Hilton Charlotte Center City have complimentary access to the attached Childress Klein YMCA Health Club and its swimming pool, basketball courts, barbells, dumbbells, kettlebells, cardio machines, weight machines, cycle studio, functional fitness rig, battle ropes, Assault Bike, and much more."
Omni Charlotte Hotel,"Guests of the Omni Charlotte Hotel receive complimentary access to the 36,000 square foot Charlotte Athletic Club that’s connected to the hotel. The health club features a wide range of cardio machines, weight machines, free weights, functional fitness equipment, a cycling studio, a yoga and Pilates studio, a basketball court, a steam room, and a sauna."
The Ivey’s Hotel,"The fitness center at The Ivey’s Hotel is open 24 hours a day, seven days a week and features treadmills, a Smith machine, a cable machine with a pull-up bar, various weight machines,  benches, dumbbells, medicine balls, and resistance bands."
Charlotte Marriott City Center,"The fitness center at the Charlotte Marriott City Center is open 24 hours a day, seven days a week and features treadmills, ellipticals, a stairmaster, weight machines, cable machines, pull-up bars, battle ropes, TRX suspension trainer, dumbbells, kettlebells, benches, and multiple interactive classes offered in a studio with a video wall."
"The Ballantyne, a Luxury Collection Hotel, Charlotte","The fitness center at the The Ballantyne, a Luxury Collection Hotel, Charlotte is 24 hours a day, seven days a week and features treadmills, ellipticals, stationary bikes, medicine balls, resistance bands, a punching bag, kettlebells, dumbbells, barbells, weight machines, and benches.Cover photo by Kimpton Tryon Park Hotel."
"The Ballantyne, a Luxury Collection Hotel, Charlotte","The fitness center at the The Ballantyne, a Luxury Collection Hotel, Charlotte is 24 hours a day, seven days a week and features treadmills, ellipticals, stationary bikes, medicine balls, resistance bands, a punching bag, kettlebells, dumbbells, barbells, weight machines, and benches.Cover photo by Kimpton Tryon Park Hotel."
Philadelphia Airport Marriott,"The fitness center at the Philadelphia Airport Marriott is open 24 hours a day, seven days a week and features cardio machines, weight machines, a stairmaster, a cable machine with a pull-up bar, benches, and dumbbells."
Philadelphia Marriott Downtown,"The spacious fitness center at the Philadelphia Marriott Downtown is open 24 hours a day and features treadmills, ellipticals, stationary bikes, a stairmaster, weight machines, a cable machine with a pull-up bar, benches, dumbbells, medicine balls, and mats for stretching."
Club Quarters Hotel,"At the Club Quarters Hotel, you’ll find a gym stocked with cardio equipment and free weights, including a Peloton bike. You’ll also find a yoga mat and resistance bands in each room if you don’t feel like hitting the gym but still want to get a workout in."
Residence Inn Philadelphia Center City,"The fitness center at the Residence Inn Philadelphia Center City features treadmills, ellipticals, stationary bikes, benches, dumbbells (including heavy ones), and weight machines."
Sheraton Suites Philadelphia Airport,"The fitness center at the Sheraton Suites Philadelphia Airport is open 24 hours a day and features treadmills, stationary bikes, ellipticals, a cable machine with a pull-up bar, benches, dumbbells, stability balls, and mats."
Loews Philadelphia Hotel,"This is a weightlifter’s hotel gym. The 2,000 square-foot fitness center at Loews Philadelphia Hotel features dumbbells, barbells, kettlebells, benches, a boxing bag, treadmills, ellipticals, and stationary bikes, including two Peloton bikes. The gym’s hours are 5am to 9:30pm."
The Westin Denver Downtown,"The WestinWORKOUT Studio at The Westin Denver Downtown is open from 5 am to 11 pm.Gym equipment includes treadmills, ellipticals, Peloton bikes, a rowing machine, dumbbells, benches, cable machines, a pull-up bar, and a TRX Training Zone with kettlebells, medicine balls, and suspension trainers."
Sheraton Denver Downtown Hotel,"The spacious fitness center at the Sheraton Denver Downtown Hotel is open 24 hours a day.Equipment includes treadmills, ellipticals, Peloton bikes, weight machines, dumbbells, barbells, and benches.This is a weightlifter’s hotel gym."
The Westin Denver International Airport,"The 1,800- square-foot WestinWORKOUT Studio at The Westin Denver International Airport is open 24 hours a day.This gym features treadmills, ellipticals, stationary bikes, weight machines, free weights, and views of the airport through floor-to-ceiling windows."
Hyatt Regency Denver at Colorado Convention Center,"The 6,700-square-foot StayFit gym at the Hyatt Regency Denver at Colorado Convention Center is open 24 hours a dayEquipment includes treadmills, ellipticals, Peloton bikes, weight machines, cable machines, a pull-up bar, dumbbells, barbells, and benches."
The Curtis Hotel Denver by DoubleTree Hilton,"The nicely-decorated fitness center at The Curtis Hotel Denver by DoubleTree Hilton is open 24 hours a day.Gym equipment includes treadmills, ellipticals, stationary bikes, a cable machine with a pull-up bar, dumbbells, kettlebells, and benches."
"The Ritz-Carlton, Denver","The 2,229-square-foot fitness center at The Ritz-Carlton, Denver is open 24 hours a day.Gym equipment includes treadmills, Peloton bikes, a lululemon Studio Mirror, weight machines, cable machines, dumbbells, kettlebells, and benches.If the hotel gym is not up to your standard, guests can use the TruFit Athletic Club adjacent to the hotel. Additional fees may apply."
Hyatt Regency Denver Tech Center,"The newly-renovated StayFit Fitness Center at the Hyatt Regency Denver Tech Center is open 24 hours a dayGym equipment includes treadmills, ellipticals, stationary bikes, free weights, dip bars, pull-up bars, battle ropes, and kettlebells."
Tru by Hilton Denver Downtown Convention Center,"The fitness center at Tru by Hilton Denver Downtown Convention Center is small but well-equipped.Gym equipment includes treadmills, Peloton bikes, dumbbells, kettlebells, TRX, a cable machine, and benches."
"Hotel Ivy, a Luxury Collection Hotel, Minneapolis","The 5,000-square-foot Anda Spa Fitness Center and Studios at Hotel Ivy, a Luxury Collection Hotel, Minneapolis is open 24 hours a dayGym equipment includes treadmills, Peloton bikes, Concept2 rowers, SkiErgs, dumbbells, barbells, squat racks, deadlift platforms, and Rogue benches."
The Westin Minneapolis,"The WestinWORKOUT Fitness Studio at The Westin Minneapolis is open 24 hours a day.Gym equipment includes treadmills, ellipticals, stationary bikes, dumbbells, benches, a cable machine, TRX, yoga balls, and mats."
"Hotel Emery, Autograph Collection","The fitness center at the Hotel Emery, Autograph Collection by Marriott is open 24 hours a day.The gym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, a Smith machine, dumbbells, and benches."
Hilton Minneapolis,"The fitness center at the Hilton Minneapolis is open 24 hours a day.Gym equipment includes treadmills, ellipticals, Peloton bikes, a rower, a cable machine, dumbbells, kettlebells, and benches."
W Minneapolis - The Foshay,"The fitness center at the W Minneapolis - The Foshay is open 24 hours a dayGym equipment includes treadmills, ellipticals, a stationary bike, a cable machine with a pull-up bar, dumbbells, benches, a boxing area with a heavy bag and speed bag, and complimentary yoga classes."
Minneapolis Marriott City Center,"The fitness center at the Minneapolis Marriott City Center is open 24/7.Gym equipment includes treadmills, ellipticals, weight machines, a cable machine with pull-up bars, dumbbells, and benches."
Embassy Suites by Hilton Minneapolis Downtown Hotel,"The 2,000-square-foot fitness center at the Embassy Suites by Hilton Minneapolis Downtown Hotel features treadmills, ellipticals, stationary bikes, a Smith machine, monkey bars, pull-up bars, dumbbells, benches, and resistance bands."
Embassy Suites by Hilton Minneapolis Downtown Hotel,"The 2,000-square-foot fitness center at the Embassy Suites by Hilton Minneapolis Downtown Hotel features treadmills, ellipticals, stationary bikes, a Smith machine, monkey bars, pull-up bars, dumbbells, benches, and resistance bands."
Hyatt Regency Minneapolis,"The 32,000-square-foot Stay Fit Athletic Club at the Hyatt Regency Minneapolis is open 24 hours a day and is one of the largest hotel gyms in the country.The gym features a large number of treadmills, ellipticals, and stationary bikes, plus Concept2 rowers, weight machines, dumbbells (including heavy ones), barbells, benches, a Smith machine, a cable machine, and much more.If you forget to pack workout clothes or running shoes, the Fitness Concierge at the hotel’s front desk will get you what you need."
Hyatt Centric Downtown Minneapolis,"The massive gym at the Hyatt Centric Downtown Minneapolis is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, Assault air bikes, rowers, squat racks, cable machines, barbells, dumbbells, benches, and an elevated running track."
JW Marriott Minneapolis Mall of America,"The fitness center at the JW Marriott Minneapolis Mall of America is open 24 hours a day.Gym equipment includes treadmills, ellipticals, stationary bikes, a StairMaster, a Smith machine, dumbbells, kettlebells, and benches."
Le Méridien Dubai Hotel & Conference Centre,"Optimal Fitness by Natural Elements at Le Méridien Dubai Hotel & Conference Centre is open daily from 5:00 AM to 12:00 AM.The gym features treadmills, ellipticals, stationary bikes, rowing machines, weight machines, dumbbells, kettlebells, barbells, benches, and squat racks.There are also group classes in spinning, yoga, or kickboxing in a professional-style ring."
Jumeirah Beach Hotel,"The J Club at the Jumeirah Beach Hotel is not only one of the best hotel gyms in Dubai but one of the best in the world.Reopened in August 2019, the new J Club features a gym with cardio machines, weight machines, a functional fitness area, and a free weights area with dumbbells, kettlebells, barbells, benches, and squat racks.There are also three dedicated group exercise studios, a performance track, a lap pool, and tennis and squash courts."
Shangri-La Hotel Dubai,"The fitness center at the Shangri-La Hotel Dubai is open daily from 6:00 AM to midnight.Gym equipment includes treadmills, ellipticals, stationary bikes, rowing machines, weight machines, dumbbells, kettlebells, barbells, and benches."
"Sheraton Grand Hotel, Dubai","The fitness center at the Sheraton Grand Hotel, Dubai is open 24/7 and offers guests amazing views of Dubai from the 53rd floor.The gym features treadmills, ellipticals, stationary bikes, weight machines, dumbbells, barbells, kettlebells, benches, a cable machine, and a kinesis training system.Best properties for sale in Dubai city."
Millennium Airport Hotel Dubai,"The Millennium Airport Hotel Dubai is conveniently located a short distance from Dubai International Airport and has an incredible new gym that opened in 2019.The MPower Fitness Club features treadmills, ellipticals, stationary bikes, rowing machines, weight machines, dumbbells, barbells, benches, kettlebells, medicine balls, and TRX."
JW Marriott Marquis Hotel Dubai,"The Club Marquis fitness center at the JW Marriott Marquis Hotel Dubai is open 24/7 to hotel guests and has fantastic views through floor-to-ceiling windows.The spacious gym features treadmills, ellipticals, stationary bikes, weight machines, dumbbells, barbells, and benches."
"Mandarin Oriental Jumeira, Dubai","The 4,000-square-foot fitness center at the Mandarin Oriental Jumeira, Dubai is open from 6 am to 10 pm daily.The gym is equipped with treadmills, ellipticals, stationary bikes, weight machines, dumbbells, barbells, benches, and a squat rack."
The Hilton Hotel Dubai Al Habtoor City,"The fitness studio at The Hilton Hotel Dubai Al Habtoor City is open 24/7.The gym features treadmills, ellipticals, stationary bikes, weight machines, dumbbells, kettlebells, barbells, benches, a squat rack, gymnastic rings, a punching bag, and a dedicated yoga studio.See also: The Best Hotel Gyms in Las Vegas"
"The Ritz-Carlton, Toronto","The fitness center at The Ritz-Carlton, Toronto is open 24 hours a day and features an extensive selection of state-of-the-art fitness equipment.Gym equipment includes treadmills, ellipticals, stationary bikes (including a Peloton bike), a Concept2 rowing machine, a Smith machine, weight machines, dumbbells, and benches."
Four Seasons Hotel Toronto,"The 3,500-square-foot fitness center at the Four Seasons Hotel Toronto is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, a rowing machine, weight machines, a Smith machine, cable machine, TRX, dumbbells, and benches."
The Westin Toronto Airport,"The WestinWORKOUT® Fitness Studio at The Westin Toronto Airport is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, stationary bikes (including a Peloton bike), weight machines, a cable machine, dumbbells, kettlebells, TRX, and benches."
Park Hyatt Toronto,"The fitness center at the Park Hyatt Toronto is located on the 5th floor of the south tower and is open 24/7.Gym equipment includes treadmills, ellipticals, Peloton bikes, a rower, weight machines, a Smith machine, dumbbells, and benches."
The Omni King Edward Hotel,"The state-of-the-art fitness center at The Omni King Edward Hotel in downtown Toronto is open 24 hours a day, 7 days a week.The gym features treadmills, ellipticals, stationary bikes, a rowing machine, weight machines, a Smith machine, a cable machine, dumbbells, benches, and medicine balls."
The St. Regis Toronto,"The fitness center at The St. Regis Toronto is open from 05:00 AM to 10:00 PM and features treadmills, ellipticals, Peloton bikes, weight machines, a cable machine, dumbbells, benches, and a movement studio for yoga and Pilates."
Shangri La Hotel Toronto,"The spacious fitness center at the Shangri La Hotel Toronto is open 24 hours a day and features treadmills, ellipticals, stationary bikes, a Concept2 rowing machine, weight machines, a Smith machine, a cable machine, dumbbells, barbells, benches, and a yoga studio."
Sheraton Gateway Hotel in Toronto International Airport,"The fitness center at the Sheraton Gateway Hotel in Toronto International Airport is open 24 hours a day and features treadmills, ellipticals, a stationary bike, weight machines, dumbbells, medicine balls, foam rollers, stability balls, and benches.See also: Hotels with Peloton Bikes"
Carlton Hotel Singapore,"The beautiful gym at Carlton Hotel Singapore offers cardio machines and an outstanding selection of free weights, including barbells and dumbbells, to go along with open space for yoga and stretching.The gym is open daily from 7 am to 7 pm and you can take a virtual tour here."
The Westin Singapore,"The WestinWORKOUT® Fitness Studio at The Westin Singapore is open 24 hours a day, 7 days a week and features treadmills, ellipticals, stationary bikes, weight machines, benches, and a small selection of dumbbells."
JW Marriott Hotel Singapore South Beach,"The fitness center at the JW Marriott Hotel Singapore South Beach is another one that offers fantastic views of Singapore through floor-to-ceiling windows.The gym features treadmills, ellipticals, stationary bikes, dumbbells, benches, a Smith machine, and various weight machines."
Shangri-La Singapore,"The Health Club Gymnasium at the Shangri-La Singapore is open daily from 6am to 10pm and features treadmills, ellipticals, stationary bikes, a rowing machine, weight machines, dumbbells, and benches."
Hilton Singapore,"The fitness center at the Hilton Singapore is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, a rowing machine, weight machines, a Smith machine, dumbbells, barbells, benches, a power rack, and gymnastic rings."
"The Ritz-Carlton, Millenia Singapore","The fitness center at The Ritz-Carlton, Millenia Singapore is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, a rowing machine, weight machines, cable machines, TRX, battle ropes, dumbbells, barbells, benches, and boxing equipment."
One Farrer Hotel,"The gym at One Farrer Hotel Singapore is open 24 hours a day, 7 days a week.The gym is equipped with treadmills, ellipticals, stationary bikes, weight machines, cable machines, a Smith machine, dumbbells, barbells, and benches."
The Westin Anaheim Resort,"The Westin WORKOUT Studio at The Westin Anaheim Resort is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, StairMasters, Peloton bikes, weight machines, cable machines, pull-up bars, dumbbells, kettlebells, a plate-loaded leg press, a Smith machine, and a rower."
Anaheim Marriott,"The fitness center at the Anaheim Marriott is open 24 hours a day, 7 days a week.Equipment includes treadmills, ellipticals, Peloton bikes, a StairMaster, a WaterRower, weight machines, cable machines, a Smith machine, dumbbells, and kettlebells."
Hilton Anaheim,"The 25,000-square-foot health club at Hilton Anaheim is open daily from 5 am to 10 pm.Gym equipment includes treadmills, ellipticals, rowers, weight machines, cable machines, barbells, dumbbells, kettlebells, and benches."
"JW Marriott, Anaheim Resort","The fitness center at the JW Marriott, Anaheim Resort is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, a rower, a Tonal home gym, weight machines, dumbbells, kettlebells, benches, and a yoga studio.Take a virtual tour of the gym here."
Hyatt Regency Orange County,"The StayFit Fitness Center at Hyatt Regency Orange County is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, weight machines, barbells, dumbbells, and benches."
Courtyard by Marriott Anaheim Theme Park Entrance,"The 1,100-square-foot fitness center at the Courtyard by Marriott Anaheim Theme Park Entrance is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, weight machines, cable machines, dumbbells, and benches."
Sheraton Park Hotel at the Anaheim Resort,"The gym at Sheraton Fitness at Sheraton Park Hotel at the Anaheim Resort features treadmills, ellipticals, weight machines, cable machines, dumbbells, and benches."
Hampton Inn & Suites by Hilton Anaheim Garden Grove,"The fitness center at Hampton Inn & Suites by Hilton Anaheim Garden Grove is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, a Peloton bike, a cable machine, dumbbells, and benches."
Hampton Inn & Suites by Hilton Anaheim Garden Grove,"The fitness center at Hampton Inn & Suites by Hilton Anaheim Garden Grove is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, a Peloton bike, a cable machine, dumbbells, and benches."
Grand Californian Hotel,"The fitness center at the Grand Californian Hotel at Disneyland is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, a rower, weight machines, cable machines, dumbbells, kettlebells, and benches."
Courtyard by Marriott Anaheim Resort/Convention Center,"The fitness center at Courtyard by Marriott Anaheim Resort/Convention Center is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, a cable machine, dumbbells, kettlebells, and benches.Read more: Hotel Gym Workouts"
Viceroy Los Cabos,"The Los Cabos Fitness Center at Viceroy Los Cabos is open daily from 6 am to 9 pm.The gym is equipped with treadmills, ellipticals, spin bikes, a Stairmaster, a rower, weight machines, cable machines, dumbbells, barbells, kettlebells, a squat rack, battle ropes, and a turf area with a sled."
The St. Regis Mexico City,"The Athletic Club at The St. Regis Mexico City is open daily from 6 am to 9 pm.Gym equipment includes treadmills, ellipticals, bikes, rowers, weight machines, cable machines, dumbbells, barbells, kettlebells, and boxing equipment."
"The Ritz-Carlton, Mexico City","The fitness center at The Ritz-Carlton, Mexico City features floor-to-ceiling windows that offer views of the city.Gym equipment includes treadmills, ellipticals, bikes, a rower, a Stairmaster, weight machines, cable machines, dumbbells, barbells, kettlebells, and a squat rack."
Hilton Mexico City Reforma,"The fitness center at the Hilton Mexico City Reforma features treadmills, ellipticals, bikes, weight machines, cable machines, dumbbells, and barbells."
Sandos Playacar Beach Resort,"The fitness center at Sandos Playacar Beach Resort in Playa del Carmen is open daily from 8 am to 5 pm.The gym is equipped with treadmills, ellipticals, a rower, weight machines, cable machines, a Smith Machine, gymnastic rings, dumbbells, barbells, and a squat rack."
JW Marriott Phoenix Desert Ridge Resort & Spa,"The Revive Spa Fitness Center at JW Marriott Phoenix Desert Ridge Resort & Spa is open daily from 5 am to 8 pm.Gym equipment includes treadmills, ellipticals, Peloton bikes, a rower, a Smith machine, cable machines, weight machines, dumbbells, barbells, and kettlebells."
Sheraton Phoenix Downtown,"The 3,200-square-foot fitness center at the Sheraton Phoenix Downtown is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, weight machines, dumbbells, kettlebells, barbells, a squat rack, pull-up bars, and boxing equipment."
The Westin Tempe,"The fitness center at The Westin Tempe is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, a Peloton bike, weight machines, a cable machine, dumbbells, and kettlebells."
Hyatt Regency Phoenix,"The fitness center at Hyatt Regency Phoenix is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, pull-up bars, TRX, dumbbells, barbells, and kettlebells."
Moxy Phoenix Tempe/ASU Area,"The small but decently-equipped fitness center at Moxy Phoenix Tempe/ASU Area is open daily from 6 am to 10 pm.Gym equipment includes treadmills, ellipticals, a stationary bike, battle ropes, dumbbells, a barbell, and a squat rack."
Marriott Phoenix Chandler,"The fitness center at the Marriott Phoenix Chandler is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, a StairMaster, a cable machine, dumbbells, and kettlebells."
Renaissance Phoenix Downtown Hotel,"The fitness center at the Renaissance Phoenix Downtown Hotel is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, a rower, weight machines, dumbbells, and kettlebells."
The Westin Kierland Resort & Spa,"The WestinWORKOUT® Fitness Studio at The Westin Kierland Resort & Spa is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, bikes, cable machines, weight machines, dumbbells, and kettlebells."
21c Museum Hotel St. Louis,"The fitness center at the Locust Street Athletic and Swim Club is open to guests of the 21c Museum Hotel St. Louis 24 hours a day, 7 days a week.Gym equipment includes a treadmill, Smith machine, cable machine, squat rack, dumbbells, barbells, kettlebells, and battle ropes."
"The Ritz-Carlton, St. Louis","The fitness center at The Ritz-Carlton, St. Louis is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, cable machines, a squat rack, barbells, dumbbells, and kettlebells."
Marriott St. Louis Grand,"The two-level fitness center at the Marriott St. Louis Grand is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, cable machines, dumbbells, kettlebells, and benches."
Hyatt Regency St. Louis at The Arch,"The StayFit gym at Hyatt Regency St. Louis at The Arch is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, weight machines, cable machines, dumbbells, and benches."
Le Meridien St. Louis Clayton,"The fitness center at Le Meridien St. Louis Clayton is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, cable machines, dumbbells, kettlebells, and benches."
Hilton St. Louis at the Ballpark,"The fitness center at Hilton St. Louis at the Ballpark features treadmills, ellipticals, a cable machine, dumbbells, barbells, and benches."
Four Seasons St. Louis,"The fitness center at the Four Seasons St. Louis is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, dumbbells, barbells, kettlebells, and benches."
The Royal Sonesta Chase Park Plaza St. Louis,"The 18,000-square-foot Sante Fitness at The Royal Sonesta Chase Park Plaza St. Louis is open from 5:30 a.m. to 10 p.m. Monday-Thursday, 5:30 a.m. to 9 p.m. on Fridays, 7 to 7 on Saturdays, and 8 a.m. to 6 p.m. on Sundays.Gym equipment includes treadmills, ellipticals, a Peloton bike, weight machines, cable machines, dumbbells, barbells, and kettlebells."
Grand Park Hotel & Suites Downtown Vancouver,"Grand Park Hotel & Suites Downtown Vancouver is a 3-star hotel in the Granville Entertainment District.The small gym is well-equipped, with a Peloton bike, dumbbells, a cable machine, barbells, and a squat rack."
JW Marriott Parq Vancouver,"The JW Marriott Parq Vancouver is an outstanding 5-star hotel with a 24-hour fitness centre that offers views of the city skyline and mountains through floor-to-ceiling windows.Gym equipment includes cardio machines, weight machines (including plate-loaded machines), cable machines, dumbbells, and kettlebells."
Level Vancouver Downtown - Howe,"Located in the heart of downtown Vancouver, Level Vancouver Downtown - Howe is a great place to stay both short and long term.The 2,000-square-foot gym is equipped with cardio machines, a Peloton bike, dumbbells, barbells, and a squat rack."
Sheraton Vancouver Wall Centre,"The Wall Centre Health Club at the Sheraton Vancouver Wall Centre is open daily from 5 am to 11 pm.Gym equipment includes treadmills, ellipticals, rowers, weight machines, cable machines, dumbbells, kettlebells, and barbells."
Shangri-La Hotel Vancouver,"The fitness center at the Shangri-La Hotel Vancouver is open 24 hours a day.Gym equipment includes cardio machines, weight machines, cable machines, dumbbells, kettlebells, and benches."
Metropolitan Hotel Vancouver,"The fitness center at the Metropolitan Hotel Vancouver is open 24 hours a day, 7 days a week.Gym equipment includes dumbbells, barbells, kettlebells, weight machines, treadmills, ellipticals, and rowers."
